exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-latest,train,ring2,Fold-1,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,228,6.36±0.46,9.42±3.69,8.66±0.70,0.53±0.06
resnet-latest,train,ring1,Fold-1,samsung_hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,16,3.63±0.65,4.43±2.68,4.83±0.95,0.88±0.12
resnet-latest,train,ring2,Fold-1,samsung_hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,8,5.70±1.35,6.73±3.75,7.63±1.70,0.20±0.40
resnet-latest,train,ring1,Fold-1,oura_hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,27,3.02±0.49,3.93±2.35,4.00±0.65,0.92±0.08
resnet-latest,train,ring2,Fold-1,oura_hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,17,11.27±1.39,12.57±6.69,14.64±2.35,0.23±0.25
resnet-latest,train,ring1,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,27,2.77±0.36,3.31±1.61,3.70±0.51,0.96±0.05
resnet-latest,train,ring2,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,17,5.79±1.22,7.56±5.13,7.71±2.01,0.83±0.14
resnet-latest,train,ring1,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,16,3.44±0.80,4.64±3.26,4.60±1.18,0.89±0.12
resnet-latest,train,ring2,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,8,2.85±0.82,3.59±2.67,4.00±1.25,0.91±0.17
resnet-latest,train,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,219,4.13±0.28,5.80±2.19,5.66±0.38,0.87±0.03
resnet-latest,train,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,228,4.20±0.28,5.98±2.11,5.63±0.41,0.83±0.04
resnet-latest,train,ring1,Fold-1,samsung_hr,['red-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,16,5.09±0.88,6.13±3.44,6.70±1.13,0.90±0.12
resnet-latest,train,ring2,Fold-1,samsung_hr,['red-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,8,3.59±1.30,4.98±3.56,4.89±1.78,0.86±0.21
resnet-latest,train,ring1,Fold-1,oura_hr,['red-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,27,2.96±0.43,3.70±1.95,4.08±0.65,0.93±0.07
resnet-latest,train,ring2,Fold-1,oura_hr,['red-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,17,8.92±1.74,11.32±6.56,11.80±2.57,0.54±0.22
